KANAL LİSTESİ
==================================================

24                                  tr.24
Turkce Pop                          tr.turkcepop
Turkce Slow                         tr.turkceslow
Turkhaber                           tr.turkhaber
Turkmeneli TV                       tr.turkmenelitv
TV 4                                tr.tv4
TV 8                                tr.tv8
TV Ekstra Ufc                       tr.tvekstraufc
Tv100                               tr.tv100
Tv42                                tr.tv42
Tv5                                 tr.tv5
Tv85                                tr.tv85
Tvnet                               tr.tvnet
Tyt Turk                            tr.tytturk
Ulke TV                             tr.ulketv
Ulusal Kanal                        tr.ulusalkanal
Vav TV                              tr.vavtv
Viasat Explore                      tr.viasatexplore
Viasat History                      tr.viasathistory
W Sport                             tr.wsport
Yaban TV                            tr.yabantv
MCEU TV                             tr.mceutv
Bir TV                              tr.birtv
Ekol Sports                         tr.ekolsports
ID Channel                          tr.idchannel
OlayTürk                            tr.olayturk
TV 1                                tr.tv1
Gurbet24 TV                         tr.gurbet24tv
Med Muzik TV                        tr.medmuziktv
Dost TV                             tr.dosttv
Ilke TV                             tr.ilketv
Jin TV                              tr.jintv
Yol TV                              tr.yoltv
Medya Haber TV                      tr.medyahabertv
Power Dance                         tr.powerdance
Power Love                          tr.powerlove
PowerTurk Slow                      tr.powerturkslow
PowerTurk Akustik                   tr.powerturkakustik
PowerTurk En Iyiler                 tr.powerturkeniyiler
PowerTurk Taptaze                   tr.powerturktaptaze
Power Plus                          tr.powerplus
NR1 Ask                             tr.nr1ask
NR1 Dance                           tr.nr1dance
Kral TV                             tr.kraltv
Kral Pop TV                         tr.kralpoptv
Tempo TV                            tr.tempotv
Chill TV                            tr.chilltv
Top Pop                             tr.toppop
Finest TV                           tr.finest
Guclu TV                            tr.guclutv
Dost Muzik                          tr.dostmuzik
Genc SMS                            tr.gencsms
Arma TV                             tr.armatv
Sila TV                             tr.silatv
Damar TV                            tr.damartv
Ezo TV                              tr.ezotv
Ezgi TV                             tr.ezgitv
Slow Karadeniz                      tr.slowkaradeniz

Toplam: 238 kanal
